                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6548,                 1.4413,                 1.9526,                0.93658,                0.91597,                0.96788,                0.80445,                0.65487,                0.62571,                 1.0012,             0.00066555,             0.00066555,             0.00066555
                      2,                0.62099,                0.48434,                0.98079,                0.99157,                0.96853,                 0.9882,                0.90139,                0.46513,                 0.3853,                0.87532,              0.0013058,              0.0013058,              0.0013058
                      3,                0.51387,                0.40096,                0.91864,                0.99383,                0.97314,                0.98963,                0.91963,                0.42983,                0.33439,                  0.851,              0.0019197,              0.0019197,              0.0019197
                      4,                0.46724,                0.36156,                0.88823,                0.99544,                 0.9775,                0.99336,                0.93789,                0.36904,                0.30034,                0.82031,              0.0018812,              0.0018812,              0.0018812
                      5,                0.43527,                0.33893,                0.87214,                0.99103,                0.98079,                0.99294,                0.94341,                0.34727,                0.27358,                0.81089,              0.0018416,              0.0018416,              0.0018416
                      6,                0.40949,                0.31999,                0.85918,                0.99754,                0.98079,                0.99336,                0.95001,                 0.3441,                0.26819,                0.80358,               0.001802,               0.001802,               0.001802
                      7,                0.39748,                0.30966,                0.85494,                 0.9972,                0.97737,                0.99272,                0.95504,                0.34065,                0.25446,                0.79902,              0.0017624,              0.0017624,              0.0017624
                      8,                0.38067,                0.29414,                0.84514,                0.99832,                0.98038,                0.99371,                0.95649,                0.33424,                0.24935,                0.79972,              0.0017228,              0.0017228,              0.0017228
                      9,                0.37315,                0.28634,                0.84341,                0.99611,                0.98471,                0.99254,                0.95652,                0.33966,                0.24228,                0.80055,              0.0016832,              0.0016832,              0.0016832
                     10,                0.37337,                0.28416,                0.84299,                0.99722,                0.98496,                 0.9925,                0.95953,                0.32208,                0.23347,                0.79438,              0.0016436,              0.0016436,              0.0016436
                     11,                0.36066,                0.27554,                0.83846,                0.99777,                0.98284,                0.99264,                0.95444,                0.33304,                0.23552,                0.79496,               0.001604,               0.001604,               0.001604
                     12,                0.35628,                0.26901,                0.83511,                0.99777,                0.98263,                0.99404,                0.96434,                0.31416,                0.21893,                0.78957,              0.0015644,              0.0015644,              0.0015644
                     13,                0.35045,                0.26437,                0.83417,                0.99912,                0.98518,                0.99432,                0.96826,                0.30953,                0.21201,                0.78878,              0.0015248,              0.0015248,              0.0015248
                     14,                0.34493,                0.25938,                 0.8305,                0.99752,                0.98518,                0.99309,                0.96509,                0.30115,                0.21241,                0.78594,              0.0014852,              0.0014852,              0.0014852
                     15,                0.33913,                0.25466,                0.82999,                0.99777,                0.98425,                0.99389,                0.96536,                0.31361,                0.21512,                0.78834,              0.0014456,              0.0014456,              0.0014456
                     16,                0.33615,                0.25368,                0.82891,                0.99667,                0.98707,                0.99383,                0.96691,                0.30705,                0.20756,                0.78621,               0.001406,               0.001406,               0.001406
                     17,                0.33372,                0.25173,                0.82729,                0.99963,                0.98573,                0.99449,                0.96544,                0.30747,                0.21032,                0.78297,              0.0013664,              0.0013664,              0.0013664
                     18,                 0.3317,                0.24841,                0.82661,                0.99764,                0.98353,                0.99402,                 0.9656,                0.30347,                0.20556,                0.78363,              0.0013268,              0.0013268,              0.0013268
                     19,                0.33217,                0.24637,                0.82842,                0.99903,                0.98463,                0.99339,                0.96399,                0.30097,                0.20265,                0.78343,              0.0012872,              0.0012872,              0.0012872
                     20,                 0.3262,                0.24301,                0.82261,                      1,                0.98551,                0.99339,                0.96652,                0.30259,                  0.197,                0.78071,              0.0012476,              0.0012476,              0.0012476
                     21,                0.31779,                0.23667,                0.82256,                 0.9991,                0.98738,                0.99467,                0.96642,                0.30016,                0.19421,                0.78117,               0.001208,               0.001208,               0.001208
                     22,                0.31756,                0.23489,                0.82154,                0.99604,                0.98628,                0.99454,                0.97058,                 0.2884,                0.18739,                0.77577,              0.0011684,              0.0011684,              0.0011684
                     23,                0.31328,                0.23226,                0.82069,                0.99778,                0.98748,                 0.9944,                0.97216,                0.29356,                0.18997,                0.77712,              0.0011288,              0.0011288,              0.0011288
                     24,                0.30967,                 0.2276,                0.81932,                0.99834,                0.98794,                0.99427,                0.97216,                0.28714,                0.18437,                0.77522,              0.0010892,              0.0010892,              0.0010892
                     25,                0.31121,                0.23036,                0.81923,                0.99792,                0.98738,                0.99476,                 0.9704,                0.28735,                0.18157,                0.77705,              0.0010496,              0.0010496,              0.0010496
                     26,                0.30673,                0.22486,                0.81781,                0.99699,                0.98683,                0.99419,                 0.9737,                0.28448,                0.17857,                 0.7746,                0.00101,                0.00101,                0.00101
                     27,                0.30487,                0.22394,                0.81832,                0.99944,                0.98512,                0.99384,                0.97232,                0.28321,                0.17661,                0.77526,              0.0009704,              0.0009704,              0.0009704
                     28,                0.30116,                0.22038,                0.81508,                0.99944,                0.98729,                0.99341,                0.97127,                0.28806,                0.17595,                0.77558,              0.0009308,              0.0009308,              0.0009308
                     29,                0.29991,                0.21787,                0.81567,                0.99975,                0.98793,                0.99429,                0.97531,                0.27805,                0.17431,                0.77304,              0.0008912,              0.0008912,              0.0008912
                     30,                0.29822,                0.21812,                0.81399,                0.99872,                0.98902,                0.99472,                 0.9743,                0.28025,                0.17198,                0.77257,              0.0008516,              0.0008516,              0.0008516
                     31,                 0.2959,                0.21551,                0.81387,                0.99944,                0.98806,                0.99474,                0.97326,                0.28305,                0.17127,                0.77308,               0.000812,               0.000812,               0.000812
                     32,                0.29484,                 0.2143,                0.81495,                0.99932,                0.98683,                0.99423,                0.97274,                0.28033,                0.17023,                0.77191,              0.0007724,              0.0007724,              0.0007724
                     33,                0.28957,                0.20975,                0.81254,                0.99945,                0.98895,                0.99496,                0.97573,                0.28042,                0.16893,                 0.7735,              0.0007328,              0.0007328,              0.0007328
                     34,                0.29132,                0.21031,                0.81285,                      1,                0.98885,                0.99481,                0.97526,                0.27592,                0.16495,                0.77187,              0.0006932,              0.0006932,              0.0006932
                     35,                0.28901,                 0.2102,                0.81242,                0.99981,                0.98847,                0.99479,                0.97737,                0.27721,                0.16693,                0.77182,              0.0006536,              0.0006536,              0.0006536
                     36,                0.28497,                0.20585,                0.81013,                0.99889,                0.98775,                0.99351,                0.97466,                0.27214,                0.16568,                0.77024,               0.000614,               0.000614,               0.000614
                     37,                0.28292,                0.20381,                0.81036,                0.99982,                0.98902,                0.99432,                0.97724,                0.27202,                0.16256,                0.77087,              0.0005744,              0.0005744,              0.0005744
                     38,                 0.2821,                0.20284,                0.80961,                0.99983,                0.98793,                0.99431,                0.97649,                0.27261,                0.16142,                0.77106,              0.0005348,              0.0005348,              0.0005348
                     39,                0.27945,                 0.2009,                0.80849,                0.99889,                0.98841,                0.99487,                0.97655,                0.27198,                0.16532,                0.77125,              0.0004952,              0.0004952,              0.0004952
                     40,                0.27579,                  0.197,                0.80896,                0.99986,                0.98957,                 0.9943,                 0.9776,                 0.2701,                0.16182,                0.76997,              0.0004556,              0.0004556,              0.0004556
                     41,                0.27727,                0.19396,                0.80053,                      1,                0.98774,                0.99374,                0.98111,                0.24093,                0.15558,                0.76071,               0.000416,               0.000416,               0.000416
                     42,                0.27166,                0.19087,                0.79928,                0.99834,                0.98896,                0.99386,                0.98079,                0.23862,                0.15336,                0.76013,              0.0003764,              0.0003764,              0.0003764
                     43,                0.26682,                0.18546,                0.79749,                0.99985,                0.98683,                0.99345,                0.98119,                0.23755,                0.15105,                0.75958,              0.0003368,              0.0003368,              0.0003368
                     44,                0.26548,                0.18366,                0.79746,                      1,                0.98824,                 0.9935,                0.98188,                0.23666,                0.14902,                0.75912,              0.0002972,              0.0002972,              0.0002972
                     45,                0.26116,                0.17986,                0.79574,                0.99995,                0.98738,                0.99281,                0.97903,                0.23561,                0.15055,                0.75818,              0.0002576,              0.0002576,              0.0002576
                     46,                0.25781,                0.17598,                 0.7927,                0.99896,                0.98683,                0.99175,                0.97764,                0.23393,                0.14974,                0.75788,               0.000218,               0.000218,               0.000218
                     47,                0.25536,                0.17379,                0.79521,                      1,                0.98787,                0.99349,                0.98196,                0.23298,                0.14712,                0.75747,              0.0001784,              0.0001784,              0.0001784
                     48,                0.25169,                0.17135,                0.79273,                0.99998,                0.98793,                0.99264,                0.98098,                0.23178,                0.14618,                0.75736,              0.0001388,              0.0001388,              0.0001388
                     49,                0.24835,                0.16833,                0.78944,                      1,                0.98792,                0.99382,                0.98303,                0.23118,                0.14632,                0.75708,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.24543,                0.16494,                0.79159,                0.99944,                0.98834,                0.99426,                0.98332,                0.23025,                0.14492,                0.75681,               5.96e-05,               5.96e-05,               5.96e-05
